date,symbol,title,sentiment_score
2025-02-18 07:01:31,ABFRL.NS,Aditya Birla Fashion and Retail Ltd (BOM:535755) Q3 2025 Earnings Call Highlights: Strong ...,-0.9214727282524108
2025-03-24 12:38:37,CASTROLIND.NS,Saudi Aramco to expand South American footprint with Primax acquisition,-0.5250552296638489
2025-03-24 15:06:54,BHEL.NS,"BHEL to build supercritical 800MW thermal project in Gujarat, India",0.6605462431907654
2025-04-04 14:05:28,BHEL.NS,Adani awards HVDC transmission contract to Hitachi Energy-BHEL,-0.8119713664054871
2025-04-21 20:47:20,UNIONBANK.NS,Union Bank of India (BOM:532477) Q3 2025 Earnings Call Highlights: Strong Profit Growth Amidst ...,-0.930727481842041
2025-04-24 13:49:10,NMDC.NS,"India's NMDC exploring coking coal assets in Indonesia, Australia, chairman says",0.7996008396148682
2025-04-28 11:41:31,CASTROLIND.NS,Castrol India's first quarter profit climbs on stronger engine oil demand,-0.9001066088676453
2025-04-29 07:01:35,IGL.NS,Indraprastha Gas Ltd (BOM:532514) Q4 2025 Earnings Call Highlights: Record Sales Volume and ...,-0.9172925353050232
2025-04-30 07:01:45,CASTROLIND.NS,Castrol India Ltd (BOM:500870) Q1 2025 Earnings Call Highlights: Strong Revenue Growth Amid ...,-0.9308293461799622
2025-05-05 05:10:33,NHPC.NS,"Exclusive-India starts work on hydro projects after suspending treaty with Pakistan, sources say",0.4008480012416839
2025-05-06 08:47:05,SAIL.NS,"India's SAIL to import trial coking coal cargo from Mongolia, maybe by air",0.4705321788787842
2025-05-09 07:10:08,ZEEL.NS,Zee Entertainment Enterprises Ltd (BOM:505537) Q4 2025 Earnings Call Highlights: Navigating ...,0.8318586945533752
2025-05-09 21:00:53,CANBK.NS,Canara Bank (BOM:532483) Q4 2025 Earnings Call Highlights: Strong Order Intake and Robust Cash ...,-0.9222168326377868
2025-05-10 07:01:01,UNIONBANK.NS,Union Bank of India (BOM:532477) Q4 2025 Earnings Call Highlights: Record Profits and Strategic ...,-0.9080414772033693
2025-05-19 14:00:55,PETRONET.NS,"India's LNG imports to rise on higher demand from power cos, says Petronet",-0.9230865240097046
2025-05-21 07:00:56,PETRONET.NS,Petronet LNG Ltd (BOM:532522) Q4 2025 Earnings Call Highlights: Record Profits and Strategic ...,-0.9122700095176696
2025-05-22 07:00:50,POWERGRID.NS,Power Grid Corp Of India Ltd (BOM:532898) Q4 2025 Earnings Call Highlights: Strong Financial ...,-0.9217612147331238
2025-05-22 07:02:41,NHPC.NS,NHPC Ltd (BOM:533098) Q4 2025 Earnings Call Highlights: Navigating Challenges and Seizing ...,0.722873330116272
2025-05-27 07:01:59,ABFRL.NS,Aditya Birla Fashion and Retail Ltd (BOM:535755) Q4 2025 Earnings Call Highlights: Strong ...,-0.9211183190345764
2025-05-29 17:51:49,CASTROLIND.NS,BP (BP) Nears Castrol Sale Amid Strategic Shifts and Investor Pressure,0.014509679749608
2025-05-30 11:50:59,ITC.NS,"Stocks to watch this week: Broadcom, Lululemon, British American Tobacco, Dr Martens and Rémy Cointreau",0.912912368774414
